,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
8306,R19KWX7FZX6WS3,1,45,48,N,Y
8696,RWY0S0RRNEEFU,1,15,21,N,N
8733,R1GHT3S4J5LMGY,5,33,42,N,N
8762,R3J3VIAQRJ8CU1,1,1,21,N,Y
8776,R2XDXQGNXSP9L8,1,5,33,N,N
8934,R19WHNBIC59H1N,3,15,26,N,N
8989,R2D9JXEG5RXLZC,1,17,22,N,Y
9115,R2IA8S092OPQ8D,1,14,20,N,Y
10361,R3NIMOJ8Z8ANLQ,1,27,33,N,N
10441,R3GZ28U5DYUO0M,1,17,21,N,Y
10522,RCOXLQ7GHA3N1,1,29,37,N,Y
10668,R16HSKRHIFCQX7,1,20,23,N,N
10990,R1JZC613ALARJC,5,56,63,N,N
11031,R16YOWI4OUOK8T,5,5,22,N,Y
11476,RAN8NO9FFAJ4Z,1,15,22,N,Y
11589,RZ96PWGUW68WP,5,33,37,N,Y
12412,R3QQMH0YV02GEB,1,1,50,N,Y
12809,R19UV6IV5IK6QY,4,96,107,N,Y
12820,R2NW91TWCD6MFY,1,21,26,N,Y
13513,R35NRJ1B2263BH,1,5,30,N,Y
13764,R1LD546TW3K1HB,1,6,33,N,N
14000,R23Z2K6GIQ2E6O,4,19,20,N,Y
14017,R2HZNZFT0C7U6U,4,23,23,N,Y
14078,R2EWX8RI2AUIUB,2,36,46,N,Y
14250,R210TCF7BT4UM9,5,66,90,N,N
14377,R3GG9PM2YHXWJU,1,3,27,N,N
14905,R3RY2C3PZMO9S9,5,23,23,N,Y
15006,R32ROUD0PKZKN4,1,2,30,N,Y
15365,R23PVY4LEQRZDY,5,33,37,N,Y
15438,R38V0ZJX3M3JMN,4,17,43,N,N
15578,R2HFD721HBPKNB,1,21,22,N,Y
15757,R1C4DXR3JRXLL4,1,0,20,N,Y
15762,R2B8CIG9YRID0H,1,7,37,N,Y
15834,R1KEV532QY147F,5,18,27,N,Y
15836,R75N4GDKPVFXG,1,0,27,N,Y
16012,R202NID9FG773L,1,7,20,N,Y
16062,RZDBVGAIS1J4,1,0,33,N,Y
16178,RWL8NELB9YVUK,1,12,21,N,N
16412,R777N69D8NEVR,4,19,21,N,Y
16416,R1NU6BHCJKR2SW,5,18,24,N,N
16463,R1W1VOR3QCW24H,1,17,22,N,Y
16713,R2TAM0DN0XV061,1,24,41,N,N
16846,R3HW9WV88OG8I9,5,27,29,N,Y
17113,R13NAL0PTL4Y3U,5,32,33,N,Y
17216,RT17XD0D7C1VO,1,8,33,N,N
17530,R3HJO2NJSPAKWL,5,33,36,N,Y
17786,R1XGRNPX2UQ2OA,1,3,35,N,N
17857,RS2K3E7K8RWN6,5,21,25,N,Y
18052,R2DU3G0X5LYNZ1,1,76,90,N,Y
18062,R29D8DBD6N74MU,1,4,31,N,Y
18321,RJYRYSQB99T1S,1,3,26,N,Y
18353,RE66FBRHSGJZN,1,18,21,N,Y
18482,R16GXHWGXCEVG9,1,2,22,N,N
18507,R2EQQMVUB1NX9T,5,69,78,N,N
18770,RAJO1V8TIVGNX,5,33,38,N,N
19015,R34LFY2SBDGR6A,1,24,26,N,Y
19113,R23CC784XXCXN0,1,8,22,N,Y
19153,R3ILPMYXR8TMUO,1,3,29,N,Y
19412,R2KNU3C7ZEJHTQ,4,22,25,N,Y
19477,R2O04IJGGEZCLC,4,38,39,N,Y
19657,R2ONHEUT8RS781,1,1,20,N,Y
19727,R13IRJ5CCFXTWR,2,23,29,N,Y
19899,R3GH3EAQUVH945,1,1,26,N,Y
19954,RRAJP6202SK9R,1,2,28,N,Y
20182,R1KW6HCTN4T63Y,1,0,24,N,N
20448,R2II27GJ90LU2Z,4,39,40,N,Y
20615,R1ZB12NQC1BQ8,1,13,46,N,Y
20625,R1AVEV7QESP6JY,1,44,47,N,Y
21771,R2HY3ME2WDP011,1,68,74,N,Y
22351,R3I2R90HEYY82O,5,38,41,N,Y
22599,RC04OND0PNKCI,5,24,32,N,Y
23048,R1PDUH0JA7BS13,5,68,68,N,Y
23329,R1ZER76ZSNEG41,1,12,41,N,N
23554,R3VS0RVCPQF89L,1,18,29,N,Y
23824,R2LWDI8E6M2UL8,1,117,154,N,Y
24122,R30B5IVYB0WVAM,1,32,36,N,Y
24326,R280A0VZPTETLX,1,1,22,N,N
25137,R1ED2KVCUOWKAJ,1,29,29,N,Y
25157,R1WSEGXLMGOABV,1,11,48,N,N
25467,R17F14IXLSW51N,4,3,30,N,Y
25758,R3C1WWLIOA4AYE,1,3,35,N,N
25877,R3G8Y393YVJLBD,1,2,32,N,N
26116,R2IDIQA458S5BL,1,29,30,N,Y
26190,R1LFWBRRPT6IV0,1,2,30,N,N
26659,R1CPH3DPXGIXWQ,1,28,42,N,N
26755,R1MMS91HX2MC72,1,2,26,N,N
27175,R1FXBZS4NS5VTX,5,20,21,N,Y
27355,R32RSP3NHZ8EY1,1,25,33,N,N
27541,R3ST08458QXF3R,1,36,36,N,N
27717,R6Q4V964BF270,1,21,32,N,Y
28000,R3GS3P0LQ9N52R,5,23,23,N,N
28080,R2UN1YYG9TDYUK,1,74,93,N,Y
28884,R1N14ATQ7TDOCB,1,14,27,N,Y
29272,R33T8RGI32OD16,5,43,43,N,Y
29347,R369VEC1JEAAEB,4,73,74,N,Y
29422,R2XQXS3MNZ67BR,1,15,23,N,Y
29441,R8WQECSOUFJ54,1,24,25,N,Y
29697,R1GDI8FNXT1QXR,1,1,26,N,Y
29783,R13TCXU89VZ0WC,3,19,20,N,Y
30214,R5SHBAHUPBQB0,4,16,21,N,N
30419,R3HWWUVSH374PI,5,107,118,N,Y
30688,R11WWRDEG42HHE,1,45,54,N,Y
30706,R21KMIH4GMP1Q4,2,16,25,N,Y
30782,R1QK7FP8CMY6XR,5,32,34,N,Y
30911,R2FRWUGZXRDWOU,5,70,82,N,Y
30958,R30NFTKJFKHP67,5,20,20,N,Y
31207,R3IU5BHONVSXLH,1,42,50,N,Y
31217,R2JOHNCGC3ZZSZ,5,25,29,N,Y
31417,RNN3QPTU4XLW2,1,2,32,N,N
31608,R16G4PHEKAQCYO,5,42,42,N,Y
31660,R33I5YLZGKOFDY,1,19,27,N,N
31921,R2EYETTO1SZH2N,5,53,56,N,Y
32389,R117N7WO2Z41BW,4,22,28,N,N
32396,R1KA5MQZCAPZFK,1,19,27,N,Y
32540,R9IBVP6YWEOTU,1,2,32,N,N
32611,R3KKUSGFZWSUIY,5,56,63,Y,N
32763,RUYOTG40UU4DQ,4,21,24,N,N
32961,RWTIC8BE6SH19,5,38,41,N,N
33112,R10FO5UKKVZBK2,3,23,23,Y,N
33392,RZ4JTM7EE3ALA,1,10,38,N,N
33495,R3FLSPV7AUGF48,1,1,24,N,Y
33571,R33C6VL26K22F0,1,82,91,N,Y
33668,R2PZA21R2MH1LR,5,108,120,N,Y
33774,R3LK3ZHX1WTD90,1,3,24,N,N
33979,RMW61BHKNVJME,4,42,43,N,Y
34208,R1A35EG07CJ2AG,1,13,28,N,N
34831,R1B71LTER0UAWT,5,69,69,N,Y
34910,R1TMGLOOCCEUKZ,5,20,24,N,Y
